Lettuce,7.63
Parsley,13.03
Steak,6.92
Mozzarella sticks,8.26
Sponges,5.71
Chocolate,7.52
Beets,18.30
Salsa,9.80
Montreal meat spice,15.36
Fruit salad,12.65
Laundry detergent,7.74
Medicine,9.56
Bean salad,6.26
Sweet & sour sauce,3.88
Chew toy,1.21
Seafood Frozen,10.63
Dried fruit,2.81
Onions,13.83
Eggs,6.48
Baby wash,6.32
Apples,14.30
Oat meal,5.57
Pickles,10.63
Beans,5.54
Parsley,17.25
Sword fish,11.78
Coffee whitener,20.42
Chicken,14.62
Hair gel,18.04
Plastic wrap,12.51
Croissants,20.62
Garlic bread,1.10
Sardines,19.65
Cotton balls,11.69
Collards,11.52
Lobster,16.69
Corn,3.06
Popcorn,19.08
Mayonnaise,8.25
Tortillas,3.99
Pumpernickel,11.50
Muffin Mix,2.62
Baby Items Cereal,12.69
Fish sticks,2.88
Bananas,16.76
Mussels,15.41
Glass's cleaner,15.99
Nuts,8.84
Garlic,14.17
Pepper,14.44
Nuts,12.70
Beans,13.68
Baguette,14.64
Grooming comb,20.00
Body wash,7.91
Floss,11.64
Salami,2.71
Mini wheats,18.90
Ginger,1.98
Pumpkin,7.10
Mineral water,9.30
Mac&cheese,2.07
Rotini,12.31
Sour cream,17.68
Antacids,10.88
Baby wipes,10.10
Milk 1%,14.53
Turkey,1.31
Sugar substitute,18.82
Hash browns,13.68
Cauliflower,14.74
Cottage cheese,15.82
Corn dogs,7.04
Coffee,18.98
Chicken wings,20.08
Perogies,1.51
Oven cleaner,8.15
Flu medicine,17.09
Potatoes,17.48
Meat sauce,15.71
Mixers,15.77
Juice,20.89
Cake mix,18.73
Honey comb,16.56
Stir fry,7.59
Oregano,1.35
Cotton swabs,15.90
Kid's cereal,4.55
Pizza,4.55
Whipping cream,13.76
Granola bars,2.88
Butter,2.64
Oil,13.48
Potato soup,18.93
English muffins,3.88
Rutabagas,13.36
Soup,19.55
Bay leaf,14.08
Turkey,8.84
HP sauce,14.92
Hot/Cold rub,11.97
Nacho chips,8.31
Vegetables Fruits,4.14
Yeast,16.48
Chip dip,11.33
Non-stick spray,16.68
Breath mints,15.99
Decorations,8.76
Kiwi,11.97
Ham,20.83
Taquitos,14.26
Hot sauce,12.89
Allergy medication,20.06
Red peppers,8.72
Sport drink,14.26
Facial tissue,19.80
Sugar,4.91
Anchovies,6.04
Paper towels,11.91
Endives,4.62
Pop,2.97
Chips,13.34
Cabbage,12.36
Band-aids,4.59
Soy milk,3.12
Reflective collar,3.63
Hickory sticks,1.12
Rye bread,5.00
Bologna,4.80
Celery,12.74
Parsnips,12.46
Cheezies,19.24
Mangoes,9.06
Waffles,3.53
Sorbet,8.66
Salt,15.45
Gravy,19.94
Relish,19.32
Pineapple,17.37
Carrots,3.47
Pancakes,8.30
Bisquick,6.33
Veggie dogs,7.08
Olives,18.46
Raisin bran,9.15
Pears,5.71
Peaches,18.40
Toys,12.38
Oatmeal,6.55
Plastic containers,19.56
Stew,5.30
Pizza,1.05
Fabric softener,19.58
Oranges,19.30
Kale,9.82
Teething ring,18.72
Corn chips,14.51
Steak sauce,6.35
Baby cookies,14.13
Raspberries,4.25
Sprouts,5.54
Chives,20.62
Cherries,13.34
Pita bread,6.66
Veggie burgers,9.39
Bottles,7.16
Ice cream,12.72
Spam,4.97
Hair color,16.81
Fruit juice,19.86
Paper towel,2.86
Potato nuggets,16.42
Hair spray,6.03
Tea,3.55
Chick peas,15.73
Burritos,6.07
Peanut butter,10.97
Corn whole,12.63
Pancake mix,13.60
Vinegar,5.85
Bathroom cleaner,6.17
Brussels sprouts,7.26
Yogurt,7.99
Chicken pot pie,6.77
Brown sugar,19.55
Rice crispies,3.63
Basil,14.90
Corn flakes,20.26
Couscous,9.27
Bottle nipples,12.13
Teething ointment,11.76
Chicken bologna,16.07
Deodorant,18.58
Plums,1.13
Cantaloupe,8.99
Catnip,15.80
Jelly,1.67
Tater tots,9.30
Nail clippers,6.45
Corn meal,13.40
Gum,7.55
Shreddies,20.78
Mushrooms,5.01
Turkey,13.95
BBQ sauce,18.73
Halibut,3.20
Mosquito repellant,3.15
Tub&Tile cleaner,11.51
Brownie mix,11.27
Cocoa powder,12.46
Pears,19.91
Beef pot pie,5.53
Marmalade,9.61
Bleach,17.85
Napkins,17.70
Toilet bowl cleaner,9.12
Half & half,10.69
Flour,7.57
Sprinkles,4.31
Aluminum foil,8.92
Garbage bags,7.03
Oregano,19.77
Hamburger buns,5.07
Hot dogs,13.05
Tofu,18.57
Chicken legs,12.35
